epoch,train_loss,val_loss,val_iou,val_dice,lr
1,0.8572527384757995,0.7952622440126207,0.3512839120715479,0.5199261368146121,0.0003
2,0.6978035473823547,0.6763003203603957,0.45720357173835996,0.6275081678436217,0.00029953760005996916
3,0.6094675612449646,0.6299416555298699,0.49723007690377063,0.6641999577406678,0.00029815325108927063
4,0.5669294875860215,0.7517654167281257,0.40291996312384626,0.5744019241506473,0.0002958554880596515
5,0.5279818052053451,0.5176234179072909,0.5373815237410159,0.6990867464484268,0.00029265847744427303
6,0.4904406940937042,0.4689604540665944,0.5708859355578491,0.7268330852489522,0.000288581929876693
7,0.45727990329265594,0.45025867886013454,0.5630791735539094,0.7204742831723094,0.0002836509786282552
8,0.4606667023897171,0.4519735508494907,0.5642342285851063,0.7214191049833655,0.00027789602465311383
9,0.44732506334781647,0.4303716884719001,0.5761750127140272,0.731105376073571,0.0002713525491562421
10,0.43981738030910494,0.489607744746738,0.5439154570819897,0.7045922813804758,0.00026406089484000466
11,0.4371258145570755,0.4713251855638292,0.5521585226864,0.7114718176217607,0.0002560660171779821
12,0.4210246229171753,0.42212676008542377,0.5891316711929456,0.741451047603488,0.0002474172072495276
13,0.42347033083438873,0.42394495341512894,0.5872660823029336,0.7399718155016337,0.000238167787843871
14,0.4285611081123352,0.4040009048249986,0.5937570474563285,0.7451035882840209,0.00022837478470739232
15,0.40390062451362607,0.39723190996381974,0.6040196770776006,0.7531325029354722,0.000218098574960932
16,0.4156343108415604,0.4108250505394406,0.5861328776426582,0.7390715946999099,0.00020740251485476348
17,0.3889124482870102,0.38279228740268284,0.6181006326354255,0.7639829318016091,0.00019635254915624213
18,0.3974388563632965,0.37408266796006096,0.6226395656214906,0.7674403839438145,0.00018501680457838585
19,0.3861996656656265,0.38915901051627266,0.6104168607735213,0.7580855313205348,0.00017346516975603465
20,0.3894428318738937,0.36844096581141156,0.6250700323948243,0.769283809232116,0.00016176886435917675
21,0.3775802904367447,0.365155385600196,0.6250299985231016,0.7692534895862306,0.00015
22,0.37415623664855957,0.37390761574109393,0.6200882066518149,0.765499315538296,0.00013823113564082325
23,0.37301765143871307,0.3769543204042647,0.6176855731816341,0.7636657993639413,0.00012653483024396538
24,0.37776131510734556,0.36705279019143844,0.6282389546627332,0.771679062048806,0.00011498319542161417
25,0.3783892476558685,0.372447841697269,0.6239870937786757,0.7684631191579105,0.00010364745084375787
26,0.37387580156326294,0.352406104405721,0.6397551861770412,0.7803057329168502,9.259748514523652e-05
27,0.36896871864795683,0.3633851442072127,0.6298922440976438,0.7729250155998756,8.190142503906796e-05
28,0.36147057056427,0.37234410974714494,0.6214596581202894,0.7665434721215689,7.162521529260765e-05
29,0.36042325079441073,0.3563213911321428,0.6361348174127796,0.7776068458939095,6.183221215612902e-05
30,0.3727331393957138,0.3626767198244731,0.6304743563834136,0.7733631061599532,5.258279275047245e-05
31,0.3730351960659027,0.3608468340502845,0.6327322427764777,0.7750594080270138,4.393398282201786e-05
32,0.3591113775968552,0.35565563705232406,0.6357745863877724,0.7773376499163405,3.5939105159995345e-05
33,0.36899449229240416,0.3651060726907518,0.6247630862537837,0.7690513054359205,2.8647450843757884e-05
34,0.3642509144544601,0.35292855236265397,0.6373218395891848,0.7784930539362905,2.210397534688616e-05
35,0.35652638018131255,0.35312769148084855,0.6390036515305771,0.7797464647913945,1.6349021371744823e-05
36,0.34472835779190064,0.35502679149309796,0.6356157057113943,0.7772188827630996,1.1418070123306984e-05
37,0.3644313246011734,0.35348789559470284,0.6375649040672182,0.7786743627488583,7.3415225557269666e-06
38,0.3599116998910904,0.3544722927941216,0.6361153053561113,0.7775922678232713,4.144511940348515e-06
39,0.3638832890987396,0.35378530952665543,0.6366306024136086,0.7779771458198844,1.8467489107293504e-06
40,0.36990798473358155,0.3518086075782776,0.6388183827219606,0.7796085148385128,4.623999400308053e-07
