image,iou,dice,tp,fp,fn,gt_area_pct
22828930_15.png,0.6401298423803631,0.7805843486773291,296592,74228,92511,17.293466666666664
22828990_15.png,0.6460252900532796,0.7849518399955673,247783,69323,66444,13.965644444444445
22829050_15.png,0.7115661003479962,0.8314795440308386,243589,45680,53059,13.184355555555555
23429020_15.png,0.7409908460120287,0.8512288823452081,610100,94536,118721,32.392044444444444
23429080_15.png,0.6896533682143904,0.8163252666944457,369068,85116,80966,20.00151111111111
23578960_15.png,0.646217246727103,0.7850935203259085,381674,109167,99787,21.398266666666665
23579005_15.png,0.7495126759412774,0.8568245160476161,679419,103487,123575,35.68862222222222
23729035_15.png,0.6626269490691046,0.7970843362548714,175510,42297,47063,9.892133333333334
23879080_15.png,0.6824193731758978,0.8112357525789743,162063,39327,36093,8.806933333333333
24179065_15.png,0.6795574107957801,0.8092101007417227,237682,47289,64789,13.443155555555556
