image,iou,dice,tp,fp,fn,gt_area_pct
22828930_15.png,0.6335391522196973,0.7756644845136733,296630,79108,92473,17.293466666666664
22828990_15.png,0.6414253954988571,0.7815468156612955,248705,73511,65522,13.965644444444445
22829050_15.png,0.7070944934476673,0.828418691714729,245622,50720,51026,13.184355555555555
23429020_15.png,0.734187071217296,0.8467218830110878,613845,107267,114976,32.392044444444444
23429080_15.png,0.6906750688892299,0.8170405793503562,368701,83793,81333,20.00151111111111
23578960_15.png,0.6441810228981932,0.7835889283805224,383499,113867,97962,21.398266666666665
23579005_15.png,0.7338896800449055,0.8465240764636176,681283,125324,121711,35.68862222222222
23729035_15.png,0.6615771211458348,0.7963243026476036,186662,59574,35911,9.892133333333334
23879080_15.png,0.6757649649961806,0.8065152084113667,163229,43391,34927,8.806933333333333
24179065_15.png,0.6939026336342885,0.8192945920929493,247853,54716,54618,13.443155555555556
