epoch,train_loss,val_loss,val_iou,val_dice,lr
1,1.1979935908317565,1.1608348687489827,0.3133406252270836,0.4771658154911721,0.0003
2,0.9164185202121735,0.8042145901256137,0.473550726239006,0.6427342035895375,0.00029953760005996916
3,0.7480636167526246,0.7056963311301337,0.5232537540364682,0.6870211252063534,0.00029815325108927063
4,0.6642752087116242,0.6716118388705783,0.4956057174159695,0.6627491612859725,0.0002958554880596515
5,0.6119505107402802,0.6435685687594943,0.4930111186902339,0.6604252473655188,0.00029265847744427303
6,0.5700582426786422,0.5597448084089491,0.5501651105216965,0.7098148536403873,0.000288581929876693
7,0.5370195078849792,0.5019947091738383,0.574382858620652,0.7296609658515719,0.0002836509786282552
8,0.5434995585680008,0.5234401557180617,0.5535423339490119,0.7126195686498485,0.00027789602465311383
9,0.5207616478204727,0.48617445429166156,0.5776841678064771,0.7323191543585766,0.0002713525491562421
10,0.499774010181427,0.5897219114833407,0.520644429006858,0.6847681405006614,0.00026406089484000466
11,0.5040131241083146,0.5210380686653985,0.5523309843058678,0.7116149711497837,0.0002560660171779821
12,0.4794973409175873,0.5187452303038703,0.5535848041189957,0.7126547616213609,0.0002474172072495276
13,0.4877622926235199,0.4441919657919142,0.6041054678914218,0.7531991879380743,0.000238167787843871
14,0.4850141042470932,0.4708898795975579,0.5778844531692884,0.7324800646949378,0.00022837478470739232
15,0.46229600012302396,0.44747840033637154,0.6022108984042611,0.7517248809180357,0.000218098574960932
16,0.4718732565641403,0.4750298791461521,0.574922848231813,0.7300965236199178,0.00020740251485476348
17,0.4458732181787491,0.44211539294984603,0.6016758404695974,0.7513078804924613,0.00019635254915624213
18,0.45578560054302214,0.4603822198179033,0.5827061299134854,0.7363415341612881,0.00018501680457838585
19,0.4400976771116257,0.4177205562591553,0.6274968050452823,0.771118939342954,0.00017346516975603465
20,0.44273964166641233,0.4322091042995453,0.6065818752641725,0.7551210238375574,0.00016176886435917675
21,0.4329379957914352,0.4262353512975905,0.6103712147717931,0.7580503292320576,0.00015
22,0.4338371181488037,0.40264567070537144,0.6307806068211074,0.7735934609262893,0.00013823113564082325
23,0.42755791544914246,0.4075361755159166,0.6310603127444052,0.7738037739175809,0.00012653483024396538
24,0.43187783360481263,0.41348473230997723,0.6217697067866697,0.766779283377573,0.00011498319542161417
25,0.4296553564071655,0.40566766262054443,0.628547900214491,0.7719120820845453,0.00010364745084375787
26,0.4271645224094391,0.42651275793711346,0.6164070778090254,0.7626879222089775,9.259748514523652e-05
27,0.42514860033988955,0.41960218879911637,0.6183806381425873,0.7641967823494251,8.190142503906796e-05
28,0.41283773481845853,0.4087904161877102,0.6276711039893657,0.77125053390819,7.162521529260765e-05
29,0.4157715147733688,0.40613240665859646,0.6273400467462741,0.7710005637734858,6.183221215612902e-05
30,0.43007002234458924,0.39968378676308525,0.6347598469101763,0.7765787104569787,5.258279275047245e-05
31,0.4229545348882675,0.400620785024431,0.6306107396384398,0.7734657012970085,4.393398282201786e-05
32,0.4098191672563553,0.39477647675408256,0.6370110382420341,0.7782611397979483,3.5939105159995345e-05
33,0.4271327906847,0.4016958938704597,0.6265550864870415,0.7704074601497158,2.8647450843757884e-05
34,0.41727842211723326,0.3947674632072449,0.635581521313583,0.7771933260815138,2.210397534688616e-05
35,0.41283959746360777,0.39413046174579197,0.635802924803328,0.7773588311437581,1.6349021371744823e-05
36,0.39236864149570466,0.389964587158627,0.6387113821926059,0.7795288287288347,1.1418070123306984e-05
37,0.4182882934808731,0.3926287955707974,0.6368396265394866,0.7781331979185484,7.3415225557269666e-06
38,0.4122182112932205,0.3926587700843811,0.635806828510427,0.7773617488678606,4.144511940348515e-06
39,0.41835018277168273,0.3897334502802955,0.6383818375373915,0.7792833427608382,1.8467489107293504e-06
40,0.42124205648899077,0.38982436060905457,0.6385421312538633,0.7794027618505373,4.623999400308053e-07
